net,length_um
net2287,187.47µm
net1252,187.46µm
net2121,187.33µm
_09178_,187.32µm
net1026,187.22µm
net817,187.11µm
net1163,187.08µm
net2447,187.03µm
net1643,186.94µm
_03254_,186.92µm
_09192_,186.82µm
_05076_,186.8µm
net2442,186.72µm
_06314_,186.66µm
net1790,186.57µm
u_core.instr\[7\],186.53µm
_05911_,186.48µm
_03298_,186.475µm
net703,186.46µm
net1850,186.46µm
net744,186.385µm
_07962_,186.31µm
_05466_,186.28µm
net1154,186.21µm
net707,186.185µm
net481,186.18µm
net742,186.05µm
net2384,186.02µm
_03322_,185.98µm
_03290_,185.94µm
_07983_,185.94µm
net848,185.86µm
net1299,185.61µm
_03258_,185.54µm
_03257_,185.52µm
net1232,185.5µm
net2411,185.49µm
net1158,185.3µm
net1854,185.24µm
net2129,185.15µm
_04332_,184.92µm
net1115,184.83µm
_09102_,184.78µm
net1801,184.78µm
net376,184.76µm
net836,184.705µm
_03145_,184.7µm
net2462,184.69µm
net2088,184.61µm
net455,184.55µm
net1414,184.48µm
net1257,184.46µm
_06392_,184.25µm
net932,184.23µm
net1772,184.22µm
_03342_,184.2µm
net1523,183.92µm
net2100,183.85µm
_03458_,183.65µm
_03143_,183.645µm
net1715,183.5µm
net307,183.4µm
net431,183.3µm
net815,183.28µm
net1582,183.28µm
net863,183.215µm
net331,183.18µm
net2098,183.155µm
net2110,183µm
_05847_,182.86µm
net2352,182.86µm
u_core.imm\[31\],182.67µm
net1599,182.66µm
net2351,182.64µm
_06700_,182.58µm
_03915_,182.5µm
_06811_,182.4µm
net257,182.37µm
_03230_,182.29µm
net410,182.29µm
net2464,182.04µm
clknet_6_53_0_clk,181.9µm
_03238_,181.88µm
_09189_,181.86µm
net2199,181.82µm
net350,181.78µm
net438,181.7µm
net1504,181.7µm
net2032,181.7µm
net1380,181.69µm
net685,181.675µm
_03251_,181.415µm
net698,181.065µm
_04081_,180.4µm
_03170_,180.34µm
_03215_,180.25µm
_05394_,180.24µm
net2089,180.225µm
net2095,180.06µm
_03229_,180.04µm
clknet_6_20_0_clk,179.99µm
_03181_,179.91µm
_03332_,179.905µm
_03139_,179.88µm
_08098_,179.86µm
_06032_,179.49µm
_03149_,179.44µm
clknet_6_18_0_clk,179.08µm
_03131_,179.04µm
net2215,179µm
_09183_,178.98µm
_06801_,178.94µm
net1105,178.8µm
net500,178.76µm
_07126_,178.75µm
net834,178.58µm
net1319,178.58µm
net1078,178.54µm
net829,178.525µm
_09134_,178.39µm
_04461_,178.34µm
_03264_,178.215µm
_03292_,178.21µm
_03178_,178.2µm
_05160_,177.9µm
net508,177.77µm
net751,177.67µm
net956,177.62µm
_03297_,177.56µm
net258,177.56µm
net1278,177.45µm
_05388_,177.44µm
net2203,177.415µm
net1081,177.38µm
_03295_,177.29µm
_03514_,177.24µm
net2241,177.145µm
net787,177.1µm
net2368,177.02µm
net1227,176.97µm
clknet_6_17_0_clk,176.95µm
net526,176.78µm
_03338_,176.76µm
net2004,176.735µm
net1800,176.635µm
net1551,176.54µm
net205,176.52µm
net940,176.46µm
_06352_,176.45µm
_06906_,176.445µm
net2030,176.42µm
_03330_,176.37µm
net1096,176.3µm
clknet_6_51_0_clk,176.24µm
_03130_,176.2µm
net2363,176.16µm
_03249_,176.1µm
net1310,176.06µm
net1012,176.015µm
net1074,175.95µm
clknet_6_27_0_clk,175.92µm
net1931,175.85µm
_06524_,175.83µm
_03243_,175.82µm
net2170,175.81µm
_03285_,175.76µm
_08248_,175.71µm
_08877_,175.67µm
_05672_,175.66µm
net327,175.54µm
_09168_,175.43µm
_03289_,175.05µm
net746,175.04µm
net1455,175.04µm
_07994_,174.94µm
net222,174.94µm
net2181,174.9µm
net1934,174.7µm
_03163_,174.68µm
net2267,174.46µm
net381,174.38µm
net1111,174.3µm
net225,174.2µm
_06195_,174.18µm
_03190_,174.115µm
net757,173.94µm
clknet_leaf_178_clk,173.88µm
net1071,173.72µm
net524,173.66µm
_03116_,173.55µm
_03117_,173.52µm
_03331_,173.3µm
_06313_,173.26µm
net1813,173.18µm
_03120_,173.12µm
net313,173.04µm
_03318_,172.98µm
_03321_,172.97µm
_07623_,172.84µm
_04806_,172.54µm
net691,172.45µm
net1968,172.44µm
net2353,172.335µm
net1067,172.32µm
clknet_6_16_0_clk,172.3µm
_04377_,172.04µm
net1837,171.93µm
net221,171.81µm
net510,171.78µm
net447,171.72µm
net1382,171.66µm
net1185,171.62µm
net1648,171.58µm
_06028_,171.56µm
_03171_,171.325µm
_03340_,171.32µm
_03225_,171.3µm
net1729,171.215µm
net733,171.01µm
net676,170.69µm
net1192,170.56µm
_09105_,170.5µm
_06033_,170.38µm
net315,170.32µm
net1468,170.305µm
net519,170.215µm
net215,170.05µm
net802,170µm
_03286_,169.92µm
net2429,169.87µm
net1029,169.85µm
net1213,169.84µm
net2176,169.83µm
net935,169.76µm
_03261_,169.74µm
net1249,169.74µm
_03114_,169.58µm
net1564,169.54µm
net168,169.51µm
net1503,169.415µm
_09080_,169.27µm
net696,169.27µm
net1506,169.26µm
_07127_,169.22µm
_03323_,169.17µm
_03113_,169.02µm
_03698_,168.9µm
net991,168.9µm
_03250_,168.895µm
net1654,168.83µm
clknet_6_24_0_clk,168.82µm
net1320,168.72µm
_03329_,168.68µm
net2245,168.65µm
_05482_,168.63µm
net1705,168.63µm
net2448,168.62µm
_07156_,168.61µm
u_core.funct7b5,168.44µm
_03255_,168.43µm
net359,168.38µm
net1522,168.32µm
net2348,168.235µm
_07872_,168.18µm
net266,168.13µm
_09191_,168.08µm
_03239_,168µm
net1057,167.97µm
net338,167.86µm
net1176,167.79µm
net237,167.78µm
net2079,167.68µm
clknet_6_9_0_clk,167.62µm
_06726_,167.58µm
net533,167.545µm
net1950,167.445µm
net1812,167.39µm
net973,167.24µm
net71,167.23µm
_03360_,167.16µm
_03141_,167.14µm
net1919,167.04µm
net729,166.925µm
_03287_,166.9µm
net164,166.43µm
_03358_,166.34µm
net2405,166.23µm
net1423,166.06µm
net2071,166.02µm
_09172_,165.9µm
_03121_,165.88µm
net392,165.83µm
net900,165.82µm
net764,165.805µm
_03133_,165.71µm
_03144_,165.66µm
_05137_,165.64µm
net2208,165.57µm
_06253_,165.56µm
_03312_,165.48µm
_03263_,165.405µm
net396,165.38µm
net2468,165.37µm
net451,165.34µm
net1420,165.34µm
net530,165.17µm
_07457_,165.16µm
clknet_6_23_0_clk,165.11µm
_05214_,165.1µm
net1723,165.08µm
clknet_leaf_192_clk,164.895µm
clknet_6_21_0_clk,164.8µm
net1932,164.75µm
_05700_,164.73µm
clknet_6_22_0_clk,164.68µm
_05806_,164.66µm
clknet_6_29_0_clk,164.6µm
_08871_,164.41µm
_05727_,164.4µm
net437,164.38µm
_03356_,164.34µm
net389,164.2µm
_03166_,164.12µm
net2221,164.09µm
net267,163.88µm
_08882_,163.83µm
clknet_6_43_0_clk,163.78µm
net760,163.72µm
net1891,163.67µm
net1589,163.64µm
clknet_6_26_0_clk,163.56µm
_03123_,163.5µm
net2119,163.49µm
net1651,163.33µm
net1511,163.06µm
net1065,163.04µm
_03334_,163.035µm
net1571,162.98µm
clknet_6_25_0_clk,162.98µm
net1339,162.96µm
net2097,162.91µm
net1663,162.85µm
_03327_,162.84µm
clknet_6_45_0_clk,162.78µm
clknet_6_28_0_clk,162.72µm
_04687_,162.58µm
net498,162.51µm
net1933,162.21µm
_03194_,162.16µm
net1259,162.12µm
net568,162.09µm
net1028,162µm
net1822,161.9µm
_09185_,161.535µm
net2423,161.53µm
net1661,161.47µm
net1187,161.46µm
_03135_,161.2µm
net1439,161.2µm
_03357_,161.09µm
_05926_,161.06µm
net18,161.06µm
net279,161.04µm
net1413,161.04µm
net465,161.02µm
net2487,160.95µm
_07244_,160.82µm
_03476_,160.76µm
net1142,160.76µm
net58,160.46µm
net690,160.405µm
net162,160.28µm
net536,160.24µm
net1972,159.82µm
net254,159.8µm
net2067,159.73µm
net2228,159.48µm
net1132,159.42µm
_03339_,159.32µm
_08892_,159.295µm
net295,159.28µm
net1768,159.22µm
net2107,159.215µm
_03275_,159.18µm
clknet_6_2_0_clk,159.16µm
_07028_,159.1µm
_03175_,159.035µm
net1240,158.96µm
_03127_,158.79µm
_03180_,158.52µm
net1039,158.51µm
clknet_6_30_0_clk,158.48µm
net107,158.42µm
net1576,158.28µm
net1938,158.165µm
_04741_,158.04µm
net303,157.96µm
_07985_,157.94µm
net2055,157.9µm
net405,157.72µm
net1925,157.695µm
net1210,157.69µm
_03132_,157.64µm
net1719,157.605µm
_03184_,157.5µm
net214,157.5µm
net349,157.44µm
clknet_6_33_0_clk,157.32µm
net216,157.2µm
net1032,157.155µm
net659,157.115µm
net886,157.025µm
net2207,156.99µm
_09152_,156.94µm
net325,156.93µm
_03667_,156.92µm
net2061,156.74µm
net2444,156.74µm
_03279_,156.7µm
net2150,156.68µm
net1010,156.58µm
_05733_,156.54µm
_09177_,156.54µm
net896,156.49µm
net904,156.475µm
net150,156.47µm
_08979_,156.28µm
clknet_6_8_0_clk,156.06µm
_05747_,155.8µm
net144,155.78µm
net305,155.7µm
net845,155.68µm
_07942_,155.64µm
net724,155.625µm
_04003_,155.56µm
net1202,155.51µm
net473,155.48µm
net2177,155.38µm
clknet_6_32_0_clk,155.36µm
clknet_6_50_0_clk,155.32µm
net43,155.22µm
net1194,155.2µm
net281,155.08µm
net1069,155.08µm
net846,154.98µm
clknet_6_56_0_clk,154.82µm
net607,154.78µm
_03425_,154.55µm
net2509,154.5µm
_08003_,154.45µm
net984,154.42µm
net1671,154.2µm
net1165,154.12µm
net1004,154.105µm
net196,153.94µm
net2313,153.92µm
net759,153.86µm
_03122_,153.82µm
_03643_,153.74µm
_09091_,153.66µm
net528,153.64µm
net1421,153.64µm
net199,153.56µm
net2223,153.54µm
_06311_,153.46µm
net1338,153.4µm
_03359_,153.36µm
_04065_,153.34µm
_09119_,153.34µm
_06965_,153.16µm
net332,153.1µm
net2197,153.1µm
net174,153.06µm
net2437,153.01µm
_05962_,153µm
net943,152.84µm
_06362_,152.74µm
net909,152.66µm
net662,152.615µm
net2196,152.6µm
net859,152.52µm
net429,152.4µm
_09167_,152.34µm
_09196_,152.31µm
net628,152.295µm
net182,152.14µm
net413,152.12µm
net2246,152.1µm
net130,152.09µm
net1893,152.065µm
net717,152.055µm
net1047,152.04µm
_03274_,152µm
net2372,151.88µm
clknet_leaf_177_clk,151.82µm
net2090,151.8µm
net213,151.79µm
net1570,151.75µm
_08960_,151.58µm
net821,151.435µm
net171,151.345µm
net767,151.24µm
net2104,151.225µm
_03246_,151.13µm
net1528,151.1µm
net2085,151.06µm
net888,151.01µm
net2192,150.99µm
net207,150.885µm
_08886_,150.725µm
net715,150.725µm
_03157_,150.6µm
clknet_6_0_0_clk,150.58µm
net665,150.575µm
net1649,150.41µm
net1580,150.26µm
u_core.pc\[0\],150.22µm
net426,150.22µm
net1048,150.2µm
net274,150.08µm
_05739_,150.04µm
net1330,150.04µm
_08061_,149.96µm
net27,149.96µm
_05069_,149.955µm
_06670_,149.74µm
net231,149.415µm
net1664,149.33µm
net879,149.23µm
clknet_6_31_0_clk,149.1µm
net161,149.09µm
_06070_,148.955µm
_04509_,148.92µm
_05029_,148.86µm
net671,148.84µm
net2109,148.84µm
net52,148.83µm
net2445,148.745µm
net302,148.64µm
net711,148.61µm
net493,148.6µm
_00008_,148.545µm
net91,148.54µm
net2413,148.48µm
net169,148.35µm
net1080,148.32µm
_03179_,148.28µm
_03611_,148.28µm
_04919_,148.26µm
_06104_,148.26µm
_03240_,148.02µm
net683,148.01µm
net1678,147.72µm
_08319_,147.68µm
net2188,147.63µm
net624,147.535µm
net62,147.5µm
net2277,147.49µm
net2219,147.25µm
_04150_,147.22µm
net255,147.16µm
net1178,147.16µm
_03413_,147.02µm
_05927_,146.92µm
_04177_,146.74µm
clknet_6_58_0_clk,146.66µm
_04261_,146.58µm
_06552_,146.58µm
net475,146.56µm
_07596_,146.51µm
_09164_,146.48µm
net1847,146.36µm
net841,146.32µm
net887,146.26µm
_03276_,146.24µm
net1890,146.21µm
_05095_,146.1µm
_06356_,146.08µm
net139,146.08µm
net1818,145.96µm
net1578,145.95µm
net138,145.84µm
_00023_,145.795µm
net1218,145.78µm
_03291_,145.77µm
_05258_,145.72µm
net1084,145.475µm
_08939_,145.46µm
clknet_leaf_163_clk,145.38µm
_03933_,145.34µm
net523,145.315µm
_09086_,145.3µm
_08509_,145.28µm
net278,145.28µm
net309,145.24µm
net167,145.16µm
_03296_,145.15µm
net692,145.04µm
net858,144.775µm
net1761,144.705µm
_03241_,144.7µm
clknet_6_36_0_clk,144.66µm
net2163,144.54µm
net252,144.48µm
net384,144.46µm
net2324,144.42µm
_04860_,144.38µm
net608,144.32µm
net1091,144.32µm
net371,144.31µm
_05722_,144.26µm
_03397_,144.2µm
_04554_,144.18µm
net1403,143.98µm
net296,143.88µm
net310,143.87µm
_05457_,143.84µm
net2195,143.78µm
_06607_,143.73µm
net2206,143.52µm
_04831_,143.3µm
net320,143.26µm
clknet_6_14_0_clk,143.26µm
net2308,143.225µm
net1079,143.16µm
net1975,143.02µm
net269,142.96µm
_08094_,142.92µm
net152,142.92µm
net517,142.91µm
_05001_,142.86µm
net276,142.74µm
net602,142.62µm
net123,142.52µm
_05116_,142.505µm
net82,142.42µm
net540,142.34µm
clknet_6_35_0_clk,142.33µm
u_core.instr\[27\],142.32µm
net1696,142.28µm
net2360,142.24µm
clknet_6_39_0_clk,142.22µm
_06196_,142.2µm
_03076_,142.12µm
net224,142.12µm
net280,142.12µm
net1757,142.12µm
net1754,142.08µm
net1839,142.08µm
net240,142.06µm
net1146,142.04µm
net1898,142.04µm
net1658,142.02µm
_03556_,141.98µm
net89,141.95µm
net1821,141.95µm
net541,141.85µm
net1058,141.79µm
net479,141.76µm
net385,141.57µm
net298,141.4µm
net45,141.36µm
net184,141.14µm
_04484_,140.99µm
_06277_,140.94µm
net2436,140.91µm
net1336,140.9µm
_03326_,140.78µm
net819,140.76µm
net1083,140.7µm
net1526,140.66µm
net2248,140.56µm
_04675_,140.43µm
net486,140.26µm
_03235_,140.13µm
_03362_,139.94µm
net1228,139.94µm
net1808,139.74µm
_05256_,139.7µm
net1598,139.7µm
net1390,139.69µm
_06393_,139.66µm
_08931_,139.59µm
_04385_,139.47µm
net576,139.38µm
net1238,139.2µm
net1911,139.185µm
_03347_,139.16µm
net1899,139.145µm
net443,139.14µm
net1922,139.115µm
clknet_6_6_0_clk,139.04µm
_08093_,139.03µm
net2426,139.02µm
net183,138.96µm
net29,138.9µm
_08034_,138.86µm
net1750,138.86µm
net1018,138.84µm
net1888,138.81µm
_03320_,138.74µm
net149,138.72µm
net2175,138.72µm
net2441,138.72µm
_09180_,138.6µm
_04976_,138.54µm
_03559_,138.5µm
net1172,138.28µm
_09173_,138.24µm
net143,138.24µm
_05777_,138.12µm
net330,138.06µm
net1907,138.01µm
net356,138µm
net1575,137.84µm
net1647,137.82µm
net743,137.78µm
_08768_,137.66µm
_06344_,137.565µm
net2440,137.51µm
clknet_6_12_0_clk,137.46µm
clknet_6_15_0_clk,137.42µm
_06450_,137.3µm
net115,137.3µm
net2258,137.28µm
_05246_,137.15µm
_03108_,137.04µm
net1233,137µm
net1134,136.86µm
net1159,136.72µm
net2135,136.63µm
net2422,136.58µm
net1430,136.475µm
_09125_,136.46µm
clknet_6_7_0_clk,136.44µm
_06254_,136.38µm
net623,136.17µm
net2424,136.13µm
clknet_6_1_0_clk,136.08µm
net2477,136.07µm
net399,135.86µm
net239,135.84µm
_03162_,135.7µm
net2517,135.66µm
clknet_6_59_0_clk,135.62µm
net170,135.61µm
net2054,135.53µm
clknet_6_3_0_clk,135.44µm
net2383,135.42µm
net629,135.265µm
clknet_6_60_0_clk,135.26µm
net1015,135.2µm
net299,135.04µm
net1819,135.04µm
net573,135.02µm
net235,134.96µm
net2226,134.93µm
_04724_,134.84µm
clknet_leaf_179_clk,134.8µm
_03248_,134.75µm
_08072_,134.58µm
clknet_6_37_0_clk,134.455µm
net693,134.42µm
net1912,134.345µm
net463,134.3µm
u_core.pc\[9\],134.19µm
_08360_,134.16µm
net78,134.07µm
net390,133.98µm
_09184_,133.88µm
u_core.instr\[18\],133.86µm
_09068_,133.82µm
net2076,133.78µm
net1109,133.77µm
net921,133.76µm
net134,133.64µm
net906,133.61µm
net1971,133.54µm
net525,133.42µm
net178,133.36µm
net154,133.22µm
net971,133.22µm
net386,133.17µm
net251,133.14µm
net159,133µm
net212,133µm
net1952,132.965µm
net319,132.88µm
net2091,132.86µm
net342,132.82µm
_07458_,132.63µm
net17,132.58µm
net453,132.54µm
net1567,132.54µm
net532,132.53µm
net2439,132.525µm
_06608_,132.34µm
u_core.instr\[28\],132.17µm
net1794,132.155µm
net1878,132.15µm
_04523_,132.12µm
_03273_,131.98µm
net1438,131.92µm
clknet_6_40_0_clk,131.64µm
net531,131.52µm
clknet_6_44_0_clk,131.48µm
net835,131.475µm
net2298,131.47µm
net857,131.4µm
net440,131.38µm
net2125,131.36µm
net2289,131.31µm
net140,131.28µm
net67,131.18µm
_08101_,131.06µm
net100,131.06µm
net177,131.06µm
net340,131µm
net462,130.96µm
_03446_,130.94µm
_08893_,130.92µm
net22,130.84µm
net122,130.78µm
clknet_6_57_0_clk,130.64µm
net227,130.57µm
net766,130.54µm
net1487,130.42µm
net102,130.4µm
net2220,130.37µm
_09174_,130.36µm
net98,130.28µm
net195,130.26µm
clknet_6_47_0_clk,130.14µm
net409,130.11µm
net2022,130µm
net126,129.94µm
net674,129.93µm
_04627_,129.92µm
net1590,129.84µm
_04878_,129.78µm
net2003,129.705µm
net470,129.68µm
net2068,129.63µm
net499,129.58µm
_07096_,129.57µm
net48,129.57µm
net160,129.52µm
_07595_,129.49µm
_06727_,129.48µm
net1700,129.41µm
net80,129.3µm
net1770,129.29µm
_04054_,129.22µm
_03294_,129.12µm
_05187_,129.085µm
clknet_6_5_0_clk,128.8µm
net1377,128.72µm
net1479,128.62µm
net2491,128.6µm
net660,128.59µm
net424,128.34µm
_04451_,128.22µm
_04659_,128.22µm
net1415,128.15µm
net272,128.04µm
net85,127.96µm
_08239_,127.92µm
clknet_6_42_0_clk,127.9µm
net1842,127.89µm
_05236_,127.82µm
net1836,127.56µm
net1223,127.54µm
net31,127.48µm
net2506,127.47µm
_04431_,127.44µm
_05028_,127.4µm
_08083_,127.28µm
net57,127.24µm
net472,127.1µm
_08454_,127.06µm
net124,127.02µm
net39,127µm
clknet_6_46_0_clk,127µm
clknet_leaf_180_clk,126.99µm
net446,126.88µm
_08110_,126.78µm
clknet_leaf_196_clk,126.64µm
net710,126.58µm
_04762_,126.54µm
_06108_,126.54µm
net444,126.5µm
_05481_,126.46µm
net2238,126.44µm
net894,126.37µm
net190,126.35µm
net53,126.32µm
net316,126.3µm
net1017,126.22µm
net308,126.1µm
net55,125.96µm
net2425,125.96µm
net489,125.94µm
_03293_,125.82µm
net151,125.8µm
net393,125.76µm
net1855,125.66µm
net705,125.58µm
net1359,125.52µm
_09127_,125.46µm
net291,125.39µm
net273,125.38µm
net335,125.32µm
_08888_,125.26µm
clknet_6_34_0_clk,125.24µm
net2263,125.07µm
_05719_,125.06µm
net142,125.04µm
net745,124.98µm
net81,124.92µm
net467,124.92µm
net820,124.9µm
u_core.instr\[11\],124.8µm
net44,124.76µm
net2280,124.76µm
_04221_,124.745µm
net186,124.74µm
net395,124.58µm
net2499,124.58µm
net1597,124.4µm
net2158,124.4µm
net421,124.38µm
_04195_,124.3µm
_05499_,124.3µm
net2059,124.28µm
clknet_6_11_0_clk,124.24µm
net204,124.1µm
net95,124.09µm
clknet_leaf_227_clk,124.06µm
net682,124.02µm
net1006,123.99µm
net1838,123.9µm
net2471,123.84µm
net2161,123.82µm
net30,123.65µm
net448,123.59µm
_08010_,123.51µm
net173,123.22µm
net1585,123.2µm
net179,123.16µm
net145,123.06µm
_03237_,123.04µm
net459,122.99µm
_05037_,122.98µm
net697,122.945µm
_03192_,122.92µm
net1742,122.82µm
_04891_,122.81µm
net714,122.775µm
_05410_,122.74µm
net1668,122.68µm
net1841,122.68µm
net2214,122.67µm
net847,122.665µm
_09137_,122.52µm
u_core.instr\[29\],122.48µm
_04600_,122.46µm
_06521_,122.455µm
net189,122.36µm
net2432,122.36µm
net2083,122.3µm
net69,122.29µm
clknet_6_38_0_clk,122.26µm
net2476,122.22µm
net402,122.04µm
net2236,121.98µm
net2231,121.96µm
net1329,121.92µm
_06936_,121.77µm
_03741_,121.54µm
net1152,121.44µm
net2374,121.41µm
net2391,121.41µm
net606,121.36µm
net1283,121.21µm
_04172_,121.18µm
net87,121.17µm
net2472,121.15µm
net816,121.1µm
net2452,121.1µm
net1085,120.96µm
_03523_,120.9µm
net42,120.88µm
clknet_leaf_187_clk,120.78µm
net601,120.77µm
clknet_leaf_258_clk,120.71µm
_04739_,120.68µm
net2253,120.67µm
_03584_,120.66µm
net1966,120.64µm
clknet_6_13_0_clk,120.64µm
_04943_,120.58µm
net1852,120.52µm
_05923_,120.48µm
clknet_leaf_193_clk,120.4µm
net2271,120.39µm
_04051_,120.38µm
net1588,120.38µm
_07959_,120.375µm
net1577,120.34µm
net65,120.29µm
_06223_,120.27µm
net2243,120.21µm
net2167,120.16µm
clknet_leaf_181_clk,120.1µm
clknet_6_61_0_clk,120.04µm
_03109_,120µm
net2234,119.865µm
_08986_,119.8µm
net1127,119.72µm
_09078_,119.7µm
net661,119.695µm
net1910,119.69µm
net2431,119.65µm
net236,119.61µm
net985,119.58µm
clknet_6_10_0_clk,119.56µm
net716,119.54µm
net185,119.5µm
net818,119.4µm
_05379_,119.36µm
clknet_leaf_224_clk,119.34µm
clknet_6_4_0_clk,119.3µm
net2249,119.21µm
net66,119.06µm
net730,119.06µm
net180,119.04µm
_06351_,118.96µm
_06761_,118.87µm
net366,118.82µm
net1323,118.66µm
net60,118.5µm
net1906,118.34µm
net938,118.3µm
net2428,118.17µm
_05889_,118.16µm
_04876_,118.06µm
net347,117.96µm
_03944_,117.92µm
net1150,117.9µm
net1559,117.8µm
net19,117.72µm
net37,117.68µm
net680,117.635µm
net1457,117.6µm
net1777,117.6µm
net2266,117.52µm
net2420,117.48µm
_06221_,117.46µm
_08510_,117.34µm
net1660,117.33µm
clknet_leaf_233_clk,117.31µm
net206,117.26µm
net1665,117.26µm
net2333,117.26µm
net974,117.06µm
_08935_,117.02µm
net2198,116.92µm
_04552_,116.9µm
net46,116.86µm
net32,116.82µm
net1180,116.78µm
_04746_,116.66µm
net2105,116.425µm
_09156_,116.42µm
net35,116.39µm
net217,116.32µm
net1392,116.3µm
net1114,116.26µm
_00009_,116.145µm
net1369,116.12µm
_08848_,116.115µm
net352,116.1µm
clknet_leaf_190_clk,116.04µm
net2276,116.02µm
net2281,116µm
net1735,115.96µm
net109,115.915µm
_03830_,115.88µm
_09108_,115.88µm
_03845_,115.76µm
net129,115.7µm
_08163_,115.58µm
net118,115.51µm
net2127,115.48µm
net793,115.42µm
_04853_,115.32µm
net181,115.32µm
net1077,115.22µm
_03126_,115.175µm
net1737,115.16µm
_09139_,115.14µm
_09044_,115.12µm
net2483,115.08µm
_03471_,115.02µm
net2187,114.97µm
net191,114.96µm
net503,114.94µm
_06527_,114.92µm
